Respondent,"1.1. Talked with City staff at a booth, event, festival, or at my door",1.2. Signed a petition,1.3. Participated in a grassroots protest or demonstration,1.4. Participated in Participatory Budgeting (Where residents identify ideas and vote on community projects),1.5. Participated in a City-led focus group,"1.6. Completed a City survey either online, by telephone, or in-person",1.7. Served on a City Council advisory committee,1.8. Made a written or verbal presentation to a City committee,1.9. Attended an open house,1.10. Called or emailed City staff directly,1.11. Watched a City Council or a committee meeting in-person or online,1.12. Helped plan an engagement activity with the City,1.13. Read and/or responded to social media posts by the City,"1.14. Received training, funding, or support to participate in a City-run community leadership program",1.15. Participated in an in-person or online consultation,1.16. Helped to design a space such as a community centre or the way a street is laid out,1.17. Submitted a compliment or complaint to the City through 311,1.18. Submitted feedback through the City's website,1.19. Called or emailed the Mayor or a City Councillor,1.20. This survey is the first time I am participating or getting involved with the City,3.1. The City considers my ideas,3.2. The City makes it clear where I can and cannot influence decisions,"3.3. The City communicates progress on projects, policy change or changes to services regularly",3.4. The City often uses technical or complex language that can be difficult to understand,3.5. I see people participating who have similar experiences or look like me,3.6. Some participants have less influence than others on decisions,"3.7. My community's strengths, abilities and ideas contribute to the solution",3.8. I understand the City<92>s reasoning for why a decision was made,"3.9. The City's engagement activities are relevant to me, my family and/or my community",3.10. The City creates spaces that are free of unwelcoming behaviour and offensive language,"7.1. I don't have regular internet access or data, which makes joining meetings harder","7.2. It is easier for people to say offensive things in virtual meetings (e.g. racist, sexist, homophobic, transphobic, and other oppressive language)",7.3. Virtual meetings are more convenient as I can join from anywhere,7.4. It is easy to connect with City staff during and/or after an virtual meeting to discuss my ideas or concerns,7.5. Logging into virtual activities is easy and I know where to get technical help,7.6. I have enough time to talk about the topic at virtual meetings,7.7. I can get to know other community members,7.8. I feel safe in a virtual environment,7.9. The software the City uses is easy to use,"7.10. The City should offer more hybrid meetings, where I can have options to attend meetings virtually or in-person"
29,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree
30,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
34,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree
35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
37,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Agree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
39,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,Neither agree nor disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,NA,NA,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,NA,NA,Agree,NA,Agree
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
